SMILES,O2_permeability
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,5.0
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,140.0
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,1.447368421
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(C)c2)cc1C,0.3
*Oc1ccc(C2(c3ccc(OC(*)=O)c(C)c3)CCCCC2)cc1C,0.11
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(*)=O)c(C)c2)cc1C,5.94
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(C(C)C)c2)cc1C(C)C,1.83
*Oc1ccc(C(=C(Cl)Cl)c2ccc(OC(*)=O)cc2)cc1,1.3
*CCC1CC(=O)N(*)C1=O,21.28
*C[Si](*)(C)C,99.0
*CCC[Si](*)(C)C,9.5
*O[Si](*)(C)C,52.63157895
*O[Si](*)(C)C,429.0
*N=P(*)(Oc1ccccc1)Oc1ccccc1,0.97
*CCc1ccc(*)cc1,0.18193512
*CCc1ccc(*)cc1,0.17999964
*CCc1ccc(*)c(C)c1,0.0580644
*CCc1ccc(*)c(C)c1,0.056903112
*CCc1ccc(*)c(CC)c1,0.49935384
*CCc1ccc(*)c(CC)c1,0.49935384
*CCc1ccc(*)c(C#N)c1,0.08903208
*CCc1ccc(*)c(C#N)c1,0.090193368
*CCc1ccc(*)c(Cl)c1,0.04645152
*CCc1ccc(*)c(Cl)c1,0.047999904
*CCc1ccc(*)c(Br)c1,0.02322576
*CCc1ccc(*)c(Br)c1,0.023999952
*CCc1cc(Cl)c(*)c(Cl)c1,0.18193512
*CCc1cc(Cl)c(*)c(Cl)c1,0.17999964
*C1CCCCC1*,61000.0
*CC(*)[Si](C)(C)C,44.0
*CC(*)[Si](C)(C)C,33.0
*C(Cl)=C(*)c1ccccc1,8.0
*C(C)=C(*)[Si](C)(C)CCCCCC,15.0
*C=CC1CC(*)C([Si](C)(C)C)C1,30.0
*C=CC1CC(*)C([Si](C)(C)C[Si](C)(C)C)C1,16.0
*C=C(*)c1cc(C(F)(F)F)oc1C(F)(F)F,120.0
*C=C(*)c1cc(C(F)(F)F)sc1C(F)(F)F,72.0
*C=C(*)C(C)(C)C,430.0
*C=C(*)C(C)(C)C,300.0
*C=C(*)C(C)(C)C,100.0
*C=C(*)C(C)(C)C,40.0
*OC1C(CO)OC(*)C(O)C1O,0.001
*c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C5(*)OC(=O)c6ccccc65)cc4)cc3)cc2)cc1,0.55
*c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C5(*)OC(=O)c6ccccc65)cc4)cc3)cc2)cc1,0.9
*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C5(*)OC(=O)c6ccccc65)cc4)cc3)cc2)cc1,1.0
*CC(CS(C)(=O)=O)O*,0.001862
*CC(CS(C)(=O)=O)O*,0.001862
*CC(CS(=O)(=O)CC)O*,0.011704
*CC(CS(=O)(=O)CCC)O*,0.2926
