# Experimental data from Bicerano_1996; calculated data from Azfal_2021 using Molecular Dynamics; https://dx.doi.org/10.1021/acsapm.0c00524,,,
SMILES,Experiment Tg (K),Calculated Tg (K),Calculated Tg St.Dev. (K)
[*]OCCOC(=O)C2=CC1=CC=C(C=C1C=C2)C(=O)[*],397,483.6,11.4
[*]CC(C1=CC(CO)=C(C=C1))[*],398,425.1,15.5
[*]OC1=CC=C(C=C1)OC1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)CCCCCCN1C(=O)C2=CC=C(C=C2C1(=O))[*],401,516,13.1
[*]CC(C1=CC(Cl)=C(C=C1)Cl)[*],401,475.5,9.3
[*]CC(C1=CC=C(C=C1)C(C)(C)C)[*],402,531.9,24.2
[*]NCCCCCCNC(=O)C1=CC=CC(=C1)C(=O)[*],403,424.3,13.6
[*]C1=CC=C(C=C1)C(C)C1=CC=C(C=C1)OC(=O)O[*],403,431.8,12.8
[*]CC(C1=C(Cl)C=C(C=C1)Cl)[*],406,508.8,13
[*]C1=CC=C(C=C1)C(C)(CC)C1=CC=C(C=C1)OC(=O)O[*],407,465.9,10.4
[*]CC(C1=CC=CC=C1(C))[*],409,493.3,11.7
[*]CC(C)(C1=CC=CC=C1)[*],409,580.3,10.5
[*]C1=CC=C(C=C1)C(C)(CCC)C1=CC=C(C=C1)OC(=O)O[*],410,462.4,9.4
[*]C1=C(C)C=C(C=C1)C(C)(C)C1=CC=C(C(Cl)=C1)OC(=O)O[*],411,550.9,8.4
[*]C(=O)C1=CC=CC(=C1)C(=O)OC1=CC=CC(=C1)O[*],411,488.7,19.5
[*]CC(C1=CC=C(C=C1)C1=CC=CC=C1)[*],411,508.6,8.9
[*]CC(C1=CC=C(C=C1)CO)[*],413,455.8,14.7
[*]C1=CC=C(C(Cl)=C1)C(C)(CC)C1=C(Cl)C=C(C=C1)OC(=O)O[*],415,517,15.2
[*]CC(C1=CC=NC=C1)[*],415,574.6,9.2
[*]CC(C1=C(C)C=C(C(C)=C1))[*],416,508.2,14.1
[*]CC(C1=CC=C(C=C1)Br)[*],417,511.2,13.7
[*]CC(N1CCCC1=O)[*],418,528.4,10
[*]CC(C1=C(C)C=C(C=C1)Cl)[*],418,569.5,12.9
[*]C1=CC=C(C=C1)C(C)(C)C1=CC=C(C(Cl)=C1)OC(=O)O[*],419,484.5,10.8
[*]OC1=CC=C(C=C1)OC1=CC=C(C=C1)C(=O)C1=CC=C(C=C1)[*],419,574.2,12
[*]C1=CC=C(C(Cl)=C1)C(C)(C)C1=C(Cl)C=C(C=C1)OC(=O)O[*],419,488.5,11.7
[*]C1=CC=C(C=C1)CC1=CC=C(C=C1)OC(=O)O[*],420,417.5,12.3
[*]OC1=CC=C(C=C1)C(=O)[*],420,589.9,74.7
[*]C1=CC=C(C=C1)C(CCC)(CCC)C1=CC=C(C=C1)OC(=O)O[*],421,508.9,14.5
[*]C1=CC=C(C=C1)C(C(C)C)C1=CC=C(C=C1)OC(=O)O[*],422,467.9,10.2
[*]CC([N]1C3=C(C2=CC=CC=C12)C=CC=C3)[*],423,460.8,6.3
[*]OC1=CC=C(C=C1)C(C)(C)C1=CC=C(C=C1)OC(=O)[*],423,607.7,17.1
[*]CC(C1=CC=C2C=CC=CC2=C1)[*],424,532.8,14.6
[*]C(F)(F)C(F)(C(F)(F)F)[*],425,570.5,12.6
[*]C1=CC=C(C=C1)C(=C(Cl)Cl)C1=CC=C(C=C1)OC(=O)O[*],430,509.7,8.4
[*]CC(C1=CC=CC2=CC=CC=C12)[*],432,516.9,14.1
[*]CC(C1=C(CO)C=C(C=C1))[*],433,486.4,13.1
[*]CC(C#N)(C(=O)OC)[*],433,586.4,15.7
[*]C1=CC=C(C=C1)C1(CCCC1)C1=CC=C(C=C1)OC(=O)O[*],440,461,10.3
[*]OC(=O)C1=CC=C(C=C1)C(=O)OC1=C(C)C=C(C=C1)C(C)(C)C1=CC(C)=C(C=C1)[*],444,584.9,14
[*]C1=CC=C(C=C1)C1(CCCCC1)C1=CC=C(C=C1)OC(=O)O[*],444,508.4,17.2
[*]C1=CC=C(C=C1)C(C1=CC=CC=C1)(C)C1=CC=C(C=C1)OC(=O)O[*],449,493.4,9.3
[*]C1=CC=C(C=C1)C(C(F)(F)F)(C(F)(F)F)C1=CC=C(C=C1)OC(=O)O[*],449,516.2,12.5
[*]C1=CC=C(C=C1)C(C(F)(Cl)F)(C(F)(Cl)F)C1=CC=C(C=C1)OC(=O)O[*],457,553.2,12.3
